Run,Id,Phase,Metric,Value
1,,Init,Time,557918115
1,,Load,Time,831507751
1,1,Query,Time,817498167
1,1,Query,Matches,1
1,2,Query,Time,77696366
1,2,Query,Matches,1
1,3,Query,Time,112128306
1,3,Query,Matches,1
2,,Init,Time,148582
2,,Load,Time,397144308
2,1,Query,Time,70351398
2,1,Query,Matches,1
2,2,Query,Time,73234761
2,2,Query,Matches,1
2,3,Query,Time,36535119
2,3,Query,Matches,1
Run,Id,Phase,Metric,Value
1,,Init,Time,88780822
1,,Load,Time,1788307042
1,1,Query,Time,364780744
1,1,Query,Matches,1
1,2,Query,Time,62930361
1,2,Query,Matches,1
1,3,Query,Time,29624499
1,3,Query,Matches,1
2,,Init,Time,174400
2,,Load,Time,1408697484
2,1,Query,Time,35159762
2,1,Query,Matches,1
2,2,Query,Time,27993075
2,2,Query,Matches,1
2,3,Query,Time,28602162
2,3,Query,Matches,1
Run,Id,Phase,Metric,Value
1,,Init,Time,658687811
1,,Load,Time,772144630
1,1,Query,Time,504306352
1,1,Query,Matches,1
1,2,Query,Time,68951483
1,2,Query,Matches,1
1,3,Query,Time,57742872
1,3,Query,Matches,1
2,,Init,Time,176829
2,,Load,Time,713863695
2,1,Query,Time,283831940
2,1,Query,Matches,1
2,2,Query,Time,80316124
2,2,Query,Matches,1
2,3,Query,Time,82401398
2,3,Query,Matches,1
Run,Id,Phase,Metric,Value
1,,Init,Time,94083924
1,,Load,Time,2171207416
1,1,Query,Time,355960210
1,1,Query,Matches,1
1,2,Query,Time,58950842
1,2,Query,Matches,1
1,3,Query,Time,33162993
1,3,Query,Matches,1
2,,Init,Time,101545
2,,Load,Time,1449366128
2,1,Query,Time,37722385
2,1,Query,Matches,1
2,2,Query,Time,43324130
2,2,Query,Matches,1
2,3,Query,Time,99932644
2,3,Query,Matches,1
